text,label
"== மீண்டும் வால்மார்ட்: இந்தியாவில் நுழைய தீவிரம் == 

 மீண்டும் வால்மார்ட்: இந்தியாவில் நுழைய தீவிரம் 

 
 சில்லறை வர்த்தகத்தில் ஈடுபட்டுள்ள அமெரிக்காவைச் சேர்ந்த வால்மார்ட் இந்தியாவில் நுழைய தீவிரம் காட்டி வருகிறது. இதற்காக நிறுவனத்தின் பெயரை மீண்டும் பதிவு செய்துள்ளது.  
 சங்கிலித் தொடர் நிறுவனங்களை அமைத்து சில்லறை வர்த்தகத்தில் ஈடுபடுவதில் மிகவும் பிரபலமாக விளங்குவது அமெரிக்காவின் வால்மார்ட் நிறுவனமாகும். இந்நிறுவனம் இந்தியாவைச் சேர்ந்த பார்தி எண்டர்பிரைசஸ் குழுமத்துடன் ஒப்பந்தம் செய்திருந்தது  
 இரு நிறுவனங்களிடையிலான 6 ஆண்டுக்கால ஒப்பந்தம் கடந்த அக்டோபரில் முறிந்துபோனது. இதைத் தொடர்ந்து தன்னிச்சையாக இந்தியச் சந்தையில் நுழைய வால்மார்ட் திட்டமிட்டுள்ளது.  
 இதற்காக இந்நிறுவனம் வால்மார்ட் இந்தியா லிமிடெட் என்ற பெயரில் புதிய நிறுவனத்தைத் தொடங்கி அதை இந்திய நிறுவன சட்டத்தின் கீழ் பதிவு செய்யத் திட்டமிட்டுள்ளது. இத்தகவலை வர்த்தக அமைச்சக அதிகாரி தெரிவித்தார். புதிய நிறுவனத்தை பதிவு செய்வதற்கான விண்ணப்பம் ஜனவரி 15-ம் தேதி தாக்கல் செய்யப்பட்டதாகத் தெரிகிறது.  
 பார்தி குழுமத்துடன் ஒப்பந்தம் முறிந்து போனதைத் தொடர்ந்து இந்தியாவில் சில்லறை வர்த்தகத்தில் ஈடுபடுவதற்கான சாத்தியக்கூறுகளையும், இந்தியாவின் அன்னிய நேரடி முதலீட்டுக் கொள்கைகளையும் வால்மார்ட் நிறுவனம் ஆராய்ந்தது.  
 இதையடுத்து இந்தியச் சந்தையில் நுழையத் தீர்மானித்து அதற்கான திட்டங்களை வகுத்து வருகிறது. முதல் கட்டமாக புதிய நிறுவனத்தை பதிவு செய்துள்ளது.  
 2013-ம் ஆண்டு டிசம்பரில் இந்தியாவில் உள்ள நிறுவனங்களிடையே சமநிலை போட்டியை உருவாக்கும் ஆணையம் (சிசிஐ), இந்தியா விலுள்ள பார்தி குழுமத்தின் 50 சதவீத பங்குகளை வால்மார்ட் வாங்குவதற்கு அனுமதி அளித்தது. இதன் மூலம் இந்தியாவில் மொத்த வர்த்தக தொழிலில் ஈடுபட அனுமதிப்பதென முடிவு செய்யப்பட்டது. இதன்படி பார்தி வால்மார்ட் பிரைவேட் நிறுவனம் இந்தியாவில் மொத்த விற்பனை அங்காடிகளை தொடங்கின. இது சில்லறை நுகர்வோரை எந்த வகையிலும் சென்றடையவில்லை.  
 2008-ம் ஆண்டிலிருந்தே இந்தியாவில் உள்ள அரசியல்வாதிகள் மூலம் சில்லறை வர்த்தகத்தில் அன்னிய நிறுவனங்கள் ஈடுபடுவதற்கான அனுமதியைப் பெறுவதற்கான முயற்சியில் தீவிரம் காட்டியது வால்மார்ட். இது தொடர்பான அறிக்கை அமெரிக்காவிலிருந்து வெளியானது.  
 இது தொடர்பாக இந்தியாவில் பெரும் சர்ச்சை ஏற்பட்டது. இதையடுத்து இதுகுறித்து விசாரணை நடத்த 2012- ம் ஆண்டு டிசம்பரில் முடிவு செய்யப்பட்டது. இதற்காக அமைக்கப்பட்ட ஒரு நபர் குழு கடந்த மாதம் தனது அறிக்கையை மாநிலங்  
 களவையில் தாக்கல் செய்தது. அதில் அரசியல்வாதிகளை நிர்பந்தித்ததற்கான எவ்வித ஆதாரமும் கிடைக்கவில்லை என குறிப்பிடப்பட்டிருந்தது. இந்திய அதிகாரிகள், அரசியல் தலைவர்களுக்கு எவ்வித தொகையும் லஞ்சமாக வால்மார்ட் வழங்கவில்லை என தெரிவிக்கப்பட்டது.  
 இருப்பினும் அரசு தாக்கல் செய்த நடவடிக்கை தொடர்பான அறிக்கையில், வெளிநாட்டு நிறுவனம் ஊழலை ஊக்குவிக்கும் வகையில் செயல்பட்டது தொடர்பாக விசாரிக்குமாறு உத்தரவிட்டதாகத் தெரிவித்தது. அமெரிக்க அதிகாரிகள் ஏதேனும் வரம்பு மீறி செயல்பட்டார்களா என்பதை விசாரிக்கவும் அரசு உத்தரவிட்டுள்ளது.-பி.டி.ஐ.",0.0
காதலால் உள்ளே மனதுக்குள் அழுதுக்கொண்டு உங்கள் உடன் சிரிக்க வைக்க முயல்பவன்,0.0
"== ஸ்ரீ விராட் விஸ்வகர்ம பரப்பிரம்மம் == 

 SRI VIRAT VISWAKARMA PARABRAHMANE 
 NAMAHA 
 ***** 
 *கடவுள் ஸ்ரீ விராட் விஸ்வகர்ம பரப்பிரம்மம் ஐந்து முகங்களையுடையது. 
 1.ஸ்ரீ விராட் விஸ்வகர்ம பரப்பிரம்மத்தின் ஸத்யோஜாத முகத்திலிந்து ஸானக ரிஷி தோன்றி அவரின் சந்ததியர்களாகிய மனு ஆச்சாரிகள் இரும்பு தொழிலையும். 
 2.ஸ்ரீ விராட் விஸ்வகர்ம பரப்பிரம்மத்தின் வாமதேவ முகத்திலிருந்து ஸனாதன ரிஷி தோன்றி அவரின் சந்ததியர்களாகிய மய 
 ஆச்சாரிகள் மர தொழிலையும். 
 3.ஸ்ரீ விராட் விஸ்வகர்ம பரப்பிரம்மத்தின் அகோர முகத்திலிருந்து அஹபூநஸ ரிஷி தோன்றி அவரின் சந்ததியர்களாகிய துவஷ்டா ஆச்சாரிகள் உலோக தொழிலையும்.  
 4.ஸ்ரீ விராட் விஸ்வகர்ம பரப்பிரம்மத்தின் தத்புருஷ முகத்திலிருந்து ப்ரத்னஸ ரிஷி தோன்றி அவரின் சந்ததியர்களாகிய சில்ப ஆச்சாரிகள் சிற்ப தொழிலையும்.  
 5.ஸ்ரீ விராட் விஸ்வகர்ம பரப்பிரம்மத்தின் ஈசான முகத்திலிருந்து சுபர்னஸ ரிஷி தோன்றி அவரின் சந்ததியர்களாகிய விஸ்வக்ஞ ஆச்சார்யர்கள் ஆபரண தொழிலையும் செய்து உலக மக்கள் அனைவரும் இன்புற்று வாழ வழிசெய்தனர். 
 ஜெய் விஸ்வகர்மா",0.0
"== mumbay cruelity == 

 மத்திய அரசின் அதிகாரம் பரவலாக்கப்பட வேண்டும். உள்துறை,  உளவுத்துறை உறங்காமல் 24 மணி நேரமும் விழித்திருந்து செயல்படவேண்டும். 
 - 
 மும்பையின் மக்கள் நெருக்கம் அதிகமுள்ள 3 இடங்களில் வெடி குண்டு வெடித்து நூற்றுக்கு மேலானவர்கள் இறப்பும் நூற்றுக்கணக்கான அப்பாவி மக்கள் காயமும் அடைந்துள்ளது இந்தியாவின் இறையாண்மைக்கு கேடு விளைவிப்பதாயுள்ளது. இப்படி அடிக்கடி ஏதாவதொரு இடத்தில் நடந்து கொண்டுதான் உள்ளது. அல்லது ரயில் விபத்துக்கள் அல்லது ரயிலில் குண்டு வைப்பது ஆகியவை மனிதகுலத்துக்கே ஏற்பட்ட இழிவுகள். 

 வேறு ஏதாவது நல்ல விஷியமாக மனிதனின் மேன்மைக்கு எழுதலாமா எனும்போது இது போன்ற கீழ்த்தரமான செய்கைகளின் எதிர்ப்புக்குரலாக இப்படியும் எழுதவேண்டியது அவசியமாகிறது. எவ்வளவு கொடூரம் பார்க்கமுடியாமல் சகிக்கமுடியாமல். எவ்வளவு குரூரம் பாருங்கள் மிக நெரிசல் உள்ள பகுதிகளில் அப்பாவி மக்கள் புழங்கும் மாலை வேளையில் 6.45. மணிக்கு காரில் அமர்ந்தபடி வெடிக்கச்  செய்திருப்பது என்பது எந்த மனிதராலும் ஏற்க முடியாதது. 
 இவர்களுக்கு இப்படிப்பட்ட போராட்ட முறைகளை யார் கற்றுத் தருவது. இது ஒரு போராட்ட முறையா? 

 வெடிமருந்தைக் கண்டறிந்த ஆல்பிரட் நோபெல் இதை எல்லாம் பார்க்க நேர்ந்தால் தான் செய்த தவறை உணர்ந்திருப்பார். மனித குணம் நல்லதை எப்போதும் கெட்டதோடு இணைத்து வைத்தே பார்த்து தொலைக்கிறது. 

 இவர்களுக்கு இவர்கள் குரலை பதிவு செய்ய வேறு வழியே இல்லையா? இவர்களுக்கு இவர்கள் கோரிக்கையை நிறைவேற்றிக் கொள்ள இப்படி ஒன்றுமறியா பாமரர்களை கொல்வதன்றி வேறு மார்க்கமே இல்லையா? ஒரு எலி அடிக்க நாம் வருத்தப்படுகிறோம்.  சமயத்தில் கொசு அடிக்கக்கூட  சலிப்பாயிருக்கிறது. இவர்கள் தொடர்ந்து மனித உயிர்களை செல்லாக்காசாக  ஒரு சில மணித்துளிகளில் ஆக்கிவிட்டு ஓடி ஒளிந்து கொள்கிறார்கள். 

  அட இவர்கள் எல்லாம் இப்படித்தான் என்றால்  அட ஆளும் வர்க்கத்தினர் என்ன செய்கிறார்கள். இது போன்ற சம்பவங்களை தடுத்து நிறுத்த உரிமை பெற்றவராயிற்றே. அஜ்மல் கசாப் வந்த போது கடல் வழியே வந்தார்கள் என்றார்கள். இப்போது பஸ் நிலையம்; ரயில் நிலையம் கடைவீதி இப்படி மக்கள் கூடும் இடங்களில் எல்லாம் கோயில்களில் எல்லாம் புகுந்து அலச ஆரம்பித்து உள்ளனரே இதை  முன்னெச்சரிக்கை நடவடிக்கை எடுத்து தடுத்து நிறுத்த வேண்டாமா? 

 சிதம்பரம் அழகாக பேட்டி கொடுக்கிறார். அழகாக பேசுகிறார். அழகாக நடந்து காட்டுகிறார். ஆனால் தீவிரவாதம் அப்படியேதான் இருக்கிறது. அன்னா ஹசாரே யார் என்று கேட்டுக்கொண்டு தீவிரவாதிகளை விட்டுவிடுகிறார்கள். பிடித்து வைத்த அஜ்மல் கசாப் இன்னும் வாழ்ந்து வர ஒரு பாபமும் அறியா அப்பாவிகள் உயிர் இந்தியாவில் அள்ளி அள்ளி குவியல் குவியலாக வீசப்படுகிறது அதில் வேறு 13 ஆம் தேதி  என்ற கணக்கும் உண்டாம். இப்போது நடந்திருக்கும் எல்லா இடங்களின் வெடிகுண்டு வெடிப்பும் ஏக ஒற்றுமையுடன் நடந்திருக்கிறதாம். 

 உளவுத்துறையும்; இந்திய உள்துறையும்; மாநிலக் காவல் துறையும்; பாதுகாப்புப் படைகளும் என்ன செய்து கொண்டிருக்கின்றன? சிறுவனை  பாதாணிக்காய் பறிக்க வந்தால் சுட்டபடி; தந்தை தாயை அடித்துக் கொன்று  மலக்கழிவுத்தொட்டியில் வீசிவிட்டு, குடித்தூக் கொண்டு; கும்மாளம் போட்டுக்கொண்டு. பெண்வழிச் சேரலை மேலைநாடுகள் போல மாற்றிக்கொண்டு இவர்கள் வாழ்வை எல்லாம் பார்த்தால் இவர்கள் மக்களுக்கு சேவை செய்யும் அமைப்பாக எப்போது ம் என்போன்றோர்க்கு தோன்றுவதேயில்லை. 

 தங்கள் குடும்பத்தையும் பாருங்கள் ஆனால் வாங்கும் சம்பளத்துக்கு அரசு செய்து தரும் வசதிகளுக்கு பணயமாக  தங்கள் பணிகளைச் செய்ய வேண்டாமா? செய்திருந்தால் இது போன்ற வன்முறைச் சம்பவங்கள் இந்தியாவில் நிகழக் காரணமிருக்குமா? அடிப்படையில் இவர்களுக்கு எல்லாம் பொது நலச் சேவையாற்ற பயிற்சி அளிக்க வேண்டும். ஒரு சாலையில் நடக்கும்போது ஒரு கல்லோ ஒரு குச்சியோ கிடந்தால் எடுத்து அப்புறம் வீசி எறிகிறோமே அப்படிப்பட்ட அக்கறை அனைவர்க்கும் ஏற்பட அனைவர்க்கும் கல்வி  புகட்டப்பட வேண்டும். எல்லோர்க்கும் தமது வீடு நாடு என்ற  அக்கறை ஏற்படும் தேசபக்தி வேண்டும். இல்லையேல் இந்தியா மிகப் பெரும் நாடாகி விட்டது  சமாளிக்க முடியவில்லை என அதிகாரத்தை எல்லாம் பகிர்ந்தளித்து குறைந்தபட்ச அதிகாரத்தை ஒருங்கிணைப்பை மட்டும் வைத்துக் கொண்டு மற்றவற்றை எல்லாம் பிரித்து மாநிலத்துக்கு அளித்து விடவேண்டும். 

 இல்லையேல் டெல்லியில் அமர்ந்து கொண்டு அறிக்கை விட்டுக்கொண்டே  நமது நாட்டில் வெடித்த பின் இறந்த பின் குடும்பங்களுக்கு ஆறுதல் சொல்ல முயற்சி செய்து கொண்டே இருக்க வேண்டியதுதான். 

 மறுபடியும் பூக்கும்வரை: 
 கவிஞர் தணிகை",0.0
"Bodhidarama new section 

He has to be added to the list of Tamil people. So I want all you Tamil guys to help find proof, eg video, website, articles that he was a Tamilian. We must not let the other people make us forget our history. If we all find proof, then Bodhidharma will be on the article of Tamil people. Our Tamil History must not be forgotten and changed by any outsiders.  

Thank you 

அவர் தமிழ் மக்கள் பட்டியலில் சேர்க்க வேண்டும் வருகிறார். எனவே நான் ஆதாரம், எ.கா. வீடியோ, வலைத்தளம், அவர் ஒரு Tamilian என்று கட்டுரைகள் கண்டுபிடிக்க உதவ அனைத்து தமிழ் தோழர்களே வேண்டும். நாம் மற்ற மக்கள் எங்கள் வரலாற்றில் மறக்க செய்ய விடமாட்டேன் வேண்டும். நாம் அனைத்து ஆதாரம் கிடைத்தால், பிறகு Bodhidharma தமிழ் மக்களின் கட்டுரையில் இருக்கும். நம் தமிழ் வரலாறு எந்த வெளி மறந்து மற்றும் மாற்ற வேண்டும்.

நன்றி",0.0
"  == Bodhidarama new section ==  He has to be added to the list of Tamil people. So I want all you Tamil guys to help find proof, eg video, website, articles that he was a Tamilian. We must not let the other people make us forget our history. If we all find proof, then Bodhidharma will be on the article of Tamil people. Our Tamil History must not be forgotten and changed by any outsiders.    Thank you   அவர் தமிழ் மக்கள் பட்டியலில் சேர்க்க வேண்டும் வருகிறார். எனவே நான் ஆதாரம், எ.கா. வீடியோ, வலைத்தளம், அவர் ஒரு Tamilian என்று கட்டுரைகள் கண்டுபிடிக்க உதவ அனைத்து தமிழ் தோழர்களே வேண்டும். நாம் மற்ற மக்கள் எங்கள் வரலாற்றில் மறக்க செய்ய விடமாட்டேன் வேண்டும். நாம் அனைத்து ஆதாரம் கிடைத்தால், பிறகு Bodhidharma தமிழ் மக்களின் கட்டுரையில் இருக்கும். நம் தமிழ் வரலாறு எந்த வெளி மறந்து மற்றும் மாற்ற வேண்டும்.  நன்றி",0.0
"# (C) முத்தையா அண்ணாமலை 2016
# இது ஒரு எழில் தமிழ் நிரலாக்க மொழி உதாரணம்

# Brain F* - மூளை குளம்பி மொழி இயக்கியை எழில் மொழியில் வடிவமைப்பது எப்படி?
# வடிவமைப்பது எப்படி, என பார்க்கலாம்.
# செயலுறுபு - (Operators) - 
# '>', '<' - செயலுறுபு நினைவகத்தை குறிக்கும் இடத்தை முன் அல்லது பின் அளவில் மாற்றும் 
# '+', '-' -  செயலுறுபு நினைவகத்தின் மதிப்பை கூட்டும் அல்லது குரைக்கும் 
# '[', ']' - செயலுறுபு நிரலின்இயக்கம் பகுதியி அடுத்த அடைவுகுரிப்பிபிற்கு ']', அல்லது '[' இற்கு தாவும் படி குறிக்கும்  
# ',','.' - என்ற செயலுறுபு உள்ளிடு, வெளியீடு, குறிக்கும் 
# Ref: http://www.muppetlabs.com/~breadbox/bf/

# Program
program21 = ""++>+."" # make contents of memory [2,1]
program0  = ""++>+.[-]."" #make contents of memory [2,1] and then [2,0]
program_sum  = ""++>+++++.<[>+<-]."" #sum of 2+5 in cell #2
program_nested = ""++>++.<[>+<-]"" # 2 op 3 in cell 2

# Write Hello World in BF* language and execute via Ezhil
program_hello_world = ""++++++++[>++++[>++>+++>+++>+<<<<-]>+>+>->>+[<]<-]>>.>---.+++++++..+++.>>.<-.<.+++.------.--------.""
# Ref: https://en.wikipedia.org/wiki/Brainfuck#Hello_World.21

# TODO:
# verify BF program before execution - all [] should be properly nested
# e.g.  ""++>+.[-]"" is OK, whereas  
#       ""]++>+.[+]"" is not correct BF program
# Infinite loops => +[]
 
# make BF execution variables
நிரல்பாகம்  தயாரி_மூளைகுழம்பி( )
    bfenv = {}
    bfenv[""stack""] = []
    memory = range(0,16)
    bfenv[""memory""] = memory
    bfenv[""pc""] = 0
    bfenv[""mptr""] = 0
    bfenv[""program""] = """"
    # clear memory
    @( mptr = 0, mptr < len(memory), mptr = mptr + 1 ) ஆக
       memory[mptr] = 0
    முடி
    பின்கொடு bfenv
முடி

# display BF environment
நிரல்பாகம்  அச்சிடு_மூளைகுழம்பி( bfenv )
    stack = bfenv[""stack""]
    memory = bfenv[""memory""]
    pc = bfenv[""pc""]
    mptr = bfenv[""mptr""]
    program = bfenv[""program""]
    பதிப்பி ""Stack =>"",stack
    பதிப்பி ""memory ptr =>"",mptr,""Memory =>"",memory
    பதிப்பி ""val @ mptr =>"",memory[mptr]
    பதிப்பி ""PC =>"", pc,"" program =>"",program
முடி

நிரல்பாகம் convert_pc( செயலுறுபு  )
    @( செயலுறுபு == ""]"" ) ஆனால்
      பின்கொடு -1
    முடி
    @( செயலுறுபு == ""["" ) ஆனால்
      பின்கொடு +1
    முடி
    பின்கொடு 0
முடி

# run the program on BF environment
நிரல்பாகம்  இயக்கி_மூளைகுழம்பி_பொறி( bfenv )
    பிழைநீக்கு = False # DEBUG
    
    stack = bfenv[""stack""]
    memory = bfenv[""memory""]
    pc = bfenv[""pc""]
    mptr = bfenv[""mptr""]
    program = bfenv[""program""]
    EOP = len(program) #நிரலின் முடிவு
    
    # முதலில் '[', மற்றும் ']' என்ற தாவும் மடக்கு செயலுறுபுகளுக்கு நாம்
    # செயல்பாடுகளை குறிப்பிடாமல் மட்டற்றவைக்கு மட்டும் செயல்களை அளிப்போம்
    @( pc < EOP ) வரை
        செயலுறுபு = program[pc]
        #பதிப்பி hex(  ord( செயலுறுபு ) )
        @( செயலுறுபு == ""+"" ) ஆனால்
           memory[mptr] = memory[mptr] + 1
           pc = pc + 1
        @( செயலுறுபு == ""-"" ) இல்லைஆனால்
           memory[mptr] = memory[mptr] - 1
           pc = pc + 1
        @( செயலுறுபு == "">"" ) இல்லைஆனால்
           pc = pc + 1
           mptr = mptr+1
        @( செயலுறுபு == ""<"" ) இல்லைஆனால்
           pc = pc + 1
           mptr = mptr-1
        @( செயலுறுபு == ""."" ) இல்லைஆனால்
          pc = pc + 1
          பதிப்பி memory[mptr],chr(memory[mptr])
        @( (செயலுறுபு == ""["") && (memory[mptr] > 0) ) இல்லைஆனால்
          append(stack,pc);
          pc = pc + 1;
        @( செயலுறுபு == ""["" ) இல்லைஆனால்
          #skip program  
          எண்ணிக்கை = 1
          @( எண்ணிக்கை != 0 ) வரை
             pc = pc + 1
             செயலுறுபு = program[pc]

#	    @( செயலுறுபு == ""]"" ) ஆனால்
#                mathippu = -1
#            @( செயலுறுபு == ""["" ) இல்லைஆனால்
#                mathippu = +1
#            இல்லை
#	        mathippu = 0
#            முடி

             எண்ணிக்கை = எண்ணிக்கை + convert_pc(  செயலுறுபு )
          முடி
          pc = pc + 1
        @( செயலுறுபு == ""]"" && ( memory[mptr] == 0 ) ) இல்லைஆனால்
          #continue program, and remove stacked operator
          pc = pc + 1
          pop(stack)
        @( செயலுறுபு == ""]"" ) இல்லைஆனால்  
          pc = pop(stack)
        இல்லை
          #பதிப்பி ""செயலுறுபு "", செயலுறுபு, "" மதிப்பு இயக்க முடியவில்லை""
          assert(False)
        முடி
        
        @( பிழைநீக்கு ) ஆனால்
           பதிப்பி ""pc="",pc
           #அச்சிடு_மூளைகுழம்பிt( bfenv )
        முடி
    முடி
    bfenv[""pc""] = pc
    bfenv[""mptr""] = mptr
முடி

# run the program on BF environment
நிரல்பாகம்  மூளைகுழம்பி_இயக்கி( program )
    பிழைநீக்கு = False # DEBUG

    # நிரல் செயல்கூறுகளை திரிச்சு ஒரு யெந்திரம் ஆக்குதல்
    bfenv = தயாரி_மூளைகுழம்பி()
    @( பிழைநீக்கு ) ஆனால்
        பதிப்பி bfenv[""memory""]
    முடி
    bfenv[""program""]=program

    # பொறி தொடக்க நிலை
    பதிப்பி ""####### starting stage #######""
    அச்சிடு_மூளைகுழம்பி( bfenv )

    பதிப்பி ""####### executing stage #######""
    # பொறி இயக்கி
    இயக்கி_மூளைகுழம்பி_பொறி( bfenv )

    # பொறி இறுதி நிலை
    பதிப்பி ""####### ending stage #######""
    அச்சிடு_மூளைகுழம்பி( bfenv )
முடி

## பரிசோதனைகள்
மூளைகுழம்பி_இயக்கி( program0 )
மூளைகுழம்பி_இயக்கி( program21 )
மூளைகுழம்பி_இயக்கி( program_sum )
மூளைகுழம்பி_இயக்கி( program_nested )
மூளைகுழம்பி_இயக்கி( program_hello_world )
",1.0
"== வணக்கம்  == 

 வணக்கம்",0.0
"இணையம் மூலமான கற்றல் கற்பித்தல்.இக்கற்பித்தலில் இணையம் சேர்ச் எஞ்சின் உலாவி ஈமெயில் போன்றன பயன்படுத்தப்படும்.சேர்ச் எஞ்சின் என்பது தகவல்களை தேடுவதற்காக வடிவமைக்கப்பட்டதொரு சாதனம். ஹிட்ஸ் என்று பொதுவாக அழைக்கப்படும் பட்டியல் ஒன்றில் இந்த தேடுதல் முடிவூகள் வழங்கப்படும். இந்தத் தகவல்களில் இணைய பக்கங்கள் படங்கள் தகவல்கள் இடம் பெற்றிருக்கும். 

  

  
 ஈமெயில் இன் பயன்கள்தகவல் பரிமாற்றம் மென்பொருள் பரிமாற்றம். ஸ்மெயிலி மூலம் உணர்வூகளைப் பரிமாறல். இலவசமானது. 

  

  
  ஈமெயில் மூலமான கற்றல் கற்பித்தல் தொடர்பான பயன்பாடுகள்கற்றலுக்கான பயிற்சிகளை அனுப்பலாம். மாணவர் அனுப்பும் விடைகளைத் திருத்தி அனுப்பலாம். மாணவர்களுக்குப் பின்னூட்டல்களை வழங்கலாம்.",0.0
""" 
 சமையலில் கூட நாம் காய்கறிகளை மாற்றி சமைபதில்லை காரணம் சுவை மாறிவிடும் என்பதற்காக. ஆனால் மொழி என்று வந்து விட்டால் """" MORNING என்ன சாப்பாடு , ரொம்ப BORE  அடிக்குது என்கிறோம்.  
 இன்றைய சிறுவர்களுக்கு நாற்காலி, மேசை போன்றவை ஆங்கிலத்தில் தெரியுமே தவிர தாய் மொழியான நம் தமிழில் அல்ல.  

 அங்கிலத்தை நான் எதிர்க்க வில்லை என் தமிழ்மொழியை நான் நேசிகின்றேன் . ஒரு ஆய்வில் இன்னும் 200 வருடங்களில் நம் தமிழ் மொழி அழிந்து விடும் என்கிறார்கள். பொருள்களின் மேல் உள்ள அக்கறை நம் மொழின் மேல் இல்லை என்பது வருந்த வைக்கிறது.  

 மற்ற மொழிகளில் பேசுவது தவறல்ல. நாம் தமிழ் மொழியை பேசுங்கள் அங்கிலம் கலக்காமல், தமிழில் பேசுவோம் ! தமிழையும் பேசுவோம் ! அங்கிலம் கலக்காமல் !  

 நாமே நாம் மொழிக்கு கொல்லி வைப்பது கொடுரம் ! தமிழன் என்று சொல்வோம் ! தலை நிமிர்த்து நிற்போம் ! தமிழில் பேசுவோம் ! தமிழையும் பேசுவோம் !  

 வாழ்க தமிழ் ! வளர்க தமிழ் ! என்றும் அழியாமல் ! நீடூடி வாழ்க ! வளர்க ! ............................""",0.0
"அன்பு நண்பரே விக்கிப்பீடியா முதற் பக்கத்தில் என்னைப் பற்றிய சிறு அறிமுகம், புகைப்படத்துடன் இடம் பெற்றுள்ளது. பார்க்கவும்.",0.0
புதிய தலைமுறை தொலைக்காட்சி யை நசுக்க நினைக்கும் சன் நெட்வொர்க் யை வன்மையக கண்டிக்க வேண்டும் சன் நெட்வொர்க் இணைப்பு தொலைகாட்சியை தவிர்ப்போம்,0.0
சுபா அவர்களே!ஸ்ரீனிஷாவை வெளியேற்றுவதற்கு எவ்வளவு பணம் பெற்றீர்கள்?இந்த மாதிரி மோசமான தீர்ப்பு தருவதற்கு மனசாட்சி உள்ள எவரும் தயங்குவார்கள்.இந்த லட்சணத்தில் ஸ்ரீனிஷாவின் அம்மாவிடம் சண்டை போட்டு உங்களது வறட்டு கவுரவத்தை நியாயப் படுத்துகிறீர்களே .உங்களுக்கு வெட்கமாக இல்லை?,0.0
